diocese,oa_2022_code,oa_in_dio
Aberdeen and Orkney,S00135370,1
Aberdeen and Orkney,S00135371,1
Aberdeen and Orkney,S00135372,1
Aberdeen and Orkney,S00135373,1
Aberdeen and Orkney,S00135374,1
Aberdeen and Orkney,S00135375,1
Aberdeen and Orkney,S00135376,1
Aberdeen and Orkney,S00135377,1
Aberdeen and Orkney,S00135378,1
Aberdeen and Orkney,S00135379,1
Aberdeen and Orkney,S00135380,1
Aberdeen and Orkney,S00135381,1
Aberdeen and Orkney,S00135382,1
Aberdeen and Orkney,S00135383,1
Aberdeen and Orkney,S00135384,1
Aberdeen and Orkney,S00135385,1
Aberdeen and Orkney,S00135386,1
Aberdeen and Orkney,S00135387,1
Aberdeen and Orkney,S00135388,1
Aberdeen and Orkney,S00135389,1
Aberdeen and Orkney,S00135390,1
Aberdeen and Orkney,S00135391,1
Aberdeen and Orkney,S00135392,1
Aberdeen and Orkney,S00135393,1
Aberdeen and Orkney,S00135394,1
Aberdeen and Orkney,S00135395,1
Aberdeen and Orkney,S00135396,1
Aberdeen and Orkney,S00135397,1
Aberdeen and Orkney,S00135398,1
Aberdeen and Orkney,S00135399,1
Aberdeen and Orkney,S00135400,1
Aberdeen and Orkney,S00135401,1
Aberdeen and Orkney,S00135402,1
Aberdeen and Orkney,S00135403,1
Aberdeen and Orkney,S00135404,1
Aberdeen and Orkney,S00135405,1
Aberdeen and Orkney,S00135406,1
Aberdeen and Orkney,S00135407,1
Aberdeen and Orkney,S00135408,1
Aberdeen and Orkney,S00135409,1
Aberdeen and Orkney,S00135410,1
Aberdeen and Orkney,S00135411,1
Aberdeen and Orkney,S00135412,1
Aberdeen and Orkney,S00135413,1
Aberdeen and Orkney,S00135414,1
Aberdeen and Orkney,S00135415,1
Aberdeen and Orkney,S00135416,1
Aberdeen and Orkney,S00135417,1
Aberdeen and Orkney,S00135418,1
Aberdeen and Orkney,S00135419,1
Aberdeen and Orkney,S00135420,1
Aberdeen and Orkney,S00135421,1
Aberdeen and Orkney,S00135422,1
Aberdeen and Orkney,S00135423,1
Aberdeen and Orkney,S00135424,1
Aberdeen and Orkney,S00135425,1
Aberdeen and Orkney,S00135426,1
Aberdeen and Orkney,S00135427,1
Aberdeen and Orkney,S00135428,1
Aberdeen and Orkney,S00135429,1
Aberdeen and Orkney,S00135430,1
Aberdeen and Orkney,S00135431,1
Aberdeen and Orkney,S00135432,1
Aberdeen and Orkney,S00135433,1
Aberdeen and Orkney,S00135434,1
Aberdeen and Orkney,S00135435,1
Aberdeen and Orkney,S00135436,1
Aberdeen and Orkney,S00135437,1
Aberdeen and Orkney,S00135438,1
Aberdeen and Orkney,S00135439,1
Aberdeen and Orkney,S00135440,1
Aberdeen and Orkney,S00135441,1
Aberdeen and Orkney,S00135442,1
Aberdeen and Orkney,S00135443,1
Aberdeen and Orkney,S00135444,1
Aberdeen and Orkney,S00135445,1
Aberdeen and Orkney,S00135446,1
Aberdeen and Orkney,S00135447,1
Aberdeen and Orkney,S00135448,1
Aberdeen and Orkney,S00135449,1
Aberdeen and Orkney,S00135450,1
Aberdeen and Orkney,S00135451,1
Aberdeen and Orkney,S00135452,1
Aberdeen and Orkney,S00135453,1
Aberdeen and Orkney,S00135454,1
Aberdeen and Orkney,S00135455,1
Aberdeen and Orkney,S00135456,1
Aberdeen and Orkney,S00135457,1
Aberdeen and Orkney,S00135458,1
Aberdeen and Orkney,S00135459,1
Aberdeen and Orkney,S00135460,1
Aberdeen and Orkney,S00135461,1
Aberdeen and Orkney,S00135462,1
Aberdeen and Orkney,S00135463,1
Aberdeen and Orkney,S00135464,1
Aberdeen and Orkney,S00135465,1
Aberdeen and Orkney,S00135466,1
Aberdeen and Orkney,S00135467,1
Aberdeen and Orkney,S00135468,1
Aberdeen and Orkney,S00135469,1
Aberdeen and Orkney,S00135470,1
Aberdeen and Orkney,S00135471,1
Aberdeen and Orkney,S00135472,1
Aberdeen and Orkney,S00135473,1
Aberdeen and Orkney,S00135474,1
Aberdeen and Orkney,S00135475,1
Aberdeen and Orkney,S00135476,1
Aberdeen and Orkney,S00135477,1
Aberdeen and Orkney,S00135478,1
Aberdeen and Orkney,S00135479,1
Aberdeen and Orkney,S00135480,1
Aberdeen and Orkney,S00135481,1
Aberdeen and Orkney,S00135482,1
Aberdeen and Orkney,S00135483,1
Aberdeen and Orkney,S00135484,1
Aberdeen and Orkney,S00135485,1
Aberdeen and Orkney,S00135486,1
Aberdeen and Orkney,S00135487,1
Aberdeen and Orkney,S00135488,1
Aberdeen and Orkney,S00135489,1
Aberdeen and Orkney,S00135490,1
Aberdeen and Orkney,S00135491,1
Aberdeen and Orkney,S00135492,1
Aberdeen and Orkney,S00135493,1
Aberdeen and Orkney,S00135494,1
Aberdeen and Orkney,S00135495,1
Aberdeen and Orkney,S00135496,1
Aberdeen and Orkney,S00135497,1
Aberdeen and Orkney,S00135498,1
Aberdeen and Orkney,S00135499,1
Aberdeen and Orkney,S00135500,1
Aberdeen and Orkney,S00135501,1
Aberdeen and Orkney,S00135502,1
Aberdeen and Orkney,S00135503,1
Aberdeen and Orkney,S00135504,1
Aberdeen and Orkney,S00135505,1
Aberdeen and Orkney,S00135506,1
Aberdeen and Orkney,S00135507,1
Aberdeen and Orkney,S00135508,1
Aberdeen and Orkney,S00135509,1
Aberdeen and Orkney,S00135510,1
Aberdeen and Orkney,S00135511,1
Aberdeen and Orkney,S00135512,1
Aberdeen and Orkney,S00135513,1
Aberdeen and Orkney,S00135514,1
Aberdeen and Orkney,S00135515,1
Aberdeen and Orkney,S00135516,1
Aberdeen and Orkney,S00135517,1
Aberdeen and Orkney,S00135518,1
Aberdeen and Orkney,S00135519,1
Aberdeen and Orkney,S00135520,1
Aberdeen and Orkney,S00135521,1
Aberdeen and Orkney,S00135522,1
Aberdeen and Orkney,S00135523,1
Aberdeen and Orkney,S00135524,1
Aberdeen and Orkney,S00135525,1
Aberdeen and Orkney,S00135526,1
Aberdeen and Orkney,S00135527,1
Aberdeen and Orkney,S00135528,1
Aberdeen and Orkney,S00135529,1
